true_label,prob,pred,encrypt_time_ms,infer_time_ms
0,0.094849,0,1.5697,3.01
0,0.100514,0,1.6007,3.1495
0,0.064593,0,1.5825,3.0567
0,0.067437,0,1.5514,3.0087
0,0.057815,0,1.6106,3.0295
0,0.065604,0,1.6063,3.0174
0,0.039694,0,1.6414,2.9191
0,0.075577,0,1.5854,3.0124
0,0.078226,0,1.6224,3.0117
0,0.073889,0,1.6388,3.0681
0,0.064721,0,1.5185,2.9448
0,0.068122,0,1.5808,2.9741
0,0.058108,0,1.5892,3.0161
0,0.064465,0,1.6049,3.011
0,0.165715,0,1.6039,3.0014
0,0.256108,0,1.6149,3.0047
0,0.103939,0,1.6003,3.0057
0,0.105334,0,1.6242,2.9951
0,0.164859,0,1.6145,2.9975
0,0.162548,0,1.6088,2.99
1,0.220801,0,1.6277,3.0306
1,0.317859,0,1.5313,3.1152
1,0.48678,0,1.5963,2.9506
0,0.120573,0,1.5379,2.9684
0,0.08379,0,1.5793,2.9472
0,0.167169,0,1.5608,2.9903
0,0.111341,0,1.603,3.0172
1,0.210379,0,1.6121,3.0437
0,0.133597,0,1.6357,3.0129
0,0.055484,0,1.613,3.0126
0,0.045718,0,1.6293,2.9958
0,0.04395,0,1.6185,2.9409
0,0.031148,0,1.5581,2.9633
0,0.040188,0,1.595,2.9656
0,0.023995,0,1.6189,2.9917
0,0.026229,0,1.6157,2.9988
0,0.031055,0,1.6168,2.9992
0,0.017757,0,1.63,2.9932
0,0.022702,0,1.6289,3.0176
0,0.026416,0,1.4927,2.9184
0,0.031309,0,1.5627,2.9727
0,0.027173,0,1.5787,3.2184
0,0.032251,0,1.6198,3.017
0,0.030927,0,1.5565,2.969
0,0.021869,0,1.609,3.017
0,0.019798,0,1.6115,3.0163
0,0.020089,0,1.6331,2.903
0,0.018056,0,1.6097,3.0455
0,0.017831,0,1.6102,2.9965
0,0.0268,0,1.6454,2.9802
0,0.020065,0,1.5302,2.9831
0,0.018442,0,1.6506,3.0077
0,0.021814,0,1.6296,3.0383
0,0.021579,0,1.6307,3.0175
0,0.023121,0,1.652,3.0006
0,0.027642,0,1.6367,3.007
0,0.039776,0,1.6336,3.0106
0,0.036778,0,1.6357,3.0045
0,0.024524,0,1.6413,3.0081
0,0.020814,0,1.6357,3.002
0,0.023796,0,1.6453,2.9151
0,0.020372,0,1.5087,3.1434
0,0.074039,0,1.547,3.001
0,0.628835,1,1.5566,2.9826
0,0.668235,1,1.6501,2.8717
0,0.169687,0,1.5578,2.9694
0,0.106379,0,1.6087,3.0009
0,0.187047,0,1.6045,2.9973
0,0.189212,0,1.504,2.9343
0,0.175824,0,1.5681,2.964
0,0.395669,0,1.6043,2.9875
0,0.729315,1,1.6125,3.0098
0,0.576791,1,1.6072,3.0208
0,0.139456,0,1.6144,2.985
0,0.308588,0,1.6074,2.9971
0,0.949439,1,1.5745,2.8689
1,0.986572,1,1.5749,2.9781
1,0.999493,1,1.574,3.0125
1,0.999583,1,1.6115,3.0187
1,0.982628,1,1.6208,3.0235
1,0.995322,1,1.6434,3.0627
1,0.999677,1,1.6264,3.1565
1,0.999964,1,1.6458,2.9998
1,0.999983,1,1.6101,3.02
1,0.999947,1,1.6432,3.0258
1,0.999794,1,1.6373,3.0412
1,0.981206,1,1.654,3.0371
1,0.822928,1,1.6469,3.0348
1,0.912922,1,1.6418,3.0204
1,0.777844,1,1.6361,2.9037
0,0.622054,1,1.5343,2.9504
0,0.870468,1,1.5536,2.9618
1,0.908845,1,1.5843,3.0062
0,0.407117,0,1.5928,2.9785
0,0.458465,0,1.6026,2.9935
0,0.788067,1,1.6098,2.9995
0,0.93495,1,1.6034,2.9746
0,0.731639,1,1.5111,2.9746
0,0.421616,0,1.5985,3.0361
0,0.257272,0,1.6221,3.0016
