true_label,prob,pred,inference_time_ms
1,0.365872,0,0.0071
1,0.279948,0,0.0023
1,0.359775,0,0.0015
1,0.289915,0,0.0011
1,0.362738,0,0.0011
1,0.37486,0,0.001
1,0.354192,0,0.0009
1,0.332903,0,0.0008
1,0.390727,0,0.0009
1,0.338805,0,0.0008
1,0.312977,0,0.0008
1,0.323064,0,0.0008
1,0.387234,0,0.0007
1,0.424658,0,0.0007
1,0.313992,0,0.0007
0,0.521961,1,0.0007
0,0.341132,0,0.0007
0,0.402551,0,0.0007
0,0.434617,0,0.0007
0,0.441511,0,0.0007
0,0.526036,1,0.0007
0,0.556772,1,0.0007
0,0.519843,1,0.0007
0,0.422461,0,0.0007
0,0.366696,0,0.0007
0,0.471399,0,0.0006
0,0.41641,0,0.0007
0,0.604818,1,0.0007
0,0.358163,0,0.0007
0,0.361302,0,0.0006
0,0.362007,0,0.0007
0,0.314409,0,0.0006
0,0.344728,0,0.0006
0,0.325662,0,0.0007
0,0.359322,0,0.0007
0,0.372098,0,0.0007
0,0.413107,0,0.0007
0,0.393606,0,0.0006
0,0.338915,0,0.0007
0,0.423373,0,0.0007
0,0.336472,0,0.0007
0,0.402424,0,0.0006
0,0.375304,0,0.0007
0,0.31124,0,0.0007
0,0.317076,0,0.0006
0,0.35499,0,0.0007
0,0.281627,0,0.0006
0,0.30591,0,0.0006
0,0.293146,0,0.0006
0,0.291708,0,0.0006
0,0.430413,0,0.0007
0,0.334514,0,0.0006
0,0.348514,0,0.0006
0,0.313314,0,0.0006
0,0.310368,0,0.0007
0,0.405358,0,0.0007
0,0.380271,0,0.0006
0,0.386691,0,0.0008
0,0.45415,0,0.0007
0,0.450987,0,0.0007
0,0.403716,0,0.0007
0,0.358074,0,0.0007
0,0.363985,0,0.0006
0,0.472325,0,0.0007
0,0.391959,0,0.0007
0,0.474509,0,0.0007
0,0.425906,0,0.0007
0,0.372409,0,0.0007
0,0.404343,0,0.0006
0,0.423654,0,0.0007
0,0.441196,0,0.0006
0,0.50081,1,0.0007
0,0.460047,0,0.0007
0,0.511117,1,0.0006
0,0.428711,0,0.0006
0,0.471187,0,0.0006
0,0.625416,1,0.0006
0,0.68446,1,0.0007
0,0.609077,1,0.0007
0,0.501227,1,0.0007
0,0.685483,1,0.0006
0,0.566154,1,0.0007
0,0.603299,1,0.0007
0,0.618857,1,0.0007
0,0.518835,1,0.0007
0,0.662674,1,0.0007
0,0.52943,1,0.0006
0,0.597578,1,0.0007
0,0.582193,1,0.0006
0,0.546129,1,0.0006
0,0.53235,1,0.0007
0,0.561164,1,0.0007
0,0.590953,1,0.0006
0,0.436961,0,0.0007
0,0.372951,0,0.0007
0,0.540167,1,0.0006
0,0.618017,1,0.0006
0,0.545504,1,0.0006
0,0.55152,1,0.0006
0,0.410868,0,0.0007
0,0.353358,0,0.0007
0,0.426139,0,0.0007
0,0.465447,0,0.0007
0,0.498737,0,0.0007
0,0.461665,0,0.0006
0,0.452406,0,0.0007
0,0.494011,0,0.0006
0,0.450592,0,0.0006
0,0.389017,0,0.0007
0,0.530683,1,0.0007
0,0.488404,0,0.0007
0,0.536455,1,0.0007
0,0.626162,1,0.0007
0,0.467931,0,0.0007
0,0.486181,0,0.0007
0,0.466895,0,0.0007
0,0.549306,1,0.0006
0,0.479907,0,0.0007
0,0.549482,1,0.0006
0,0.547183,1,0.0007
0,0.456321,0,0.0007
0,0.505676,1,0.0007
0,0.450241,0,0.0006
0,0.516071,1,0.0007
0,0.533618,1,0.0006
0,0.426459,0,0.0006
0,0.454002,0,0.0006
0,0.467991,0,0.0007
0,0.432729,0,0.0007
0,0.426237,0,0.0007
0,0.468857,0,0.0008
0,0.441199,0,0.0007
0,0.503821,1,0.0008
0,0.44635,0,0.0007
0,0.465078,0,0.0007
0,0.439562,0,0.0007
0,0.435809,0,0.0007
0,0.52538,1,0.0007
0,0.525942,1,0.0008
0,0.579648,1,0.0007
0,0.588165,1,0.0007
0,0.686467,1,0.0007
0,0.587662,1,0.0007
0,0.596647,1,0.0006
0,0.611044,1,0.0008
0,0.663841,1,0.0006
0,0.531322,1,0.0006
0,0.591464,1,0.0006
0,0.453416,0,0.0006
0,0.585006,1,0.0006
0,0.550449,1,0.0007
0,0.645041,1,0.0007
0,0.571166,1,0.0007
0,0.534351,1,0.0007
0,0.57844,1,0.0007
0,0.468588,0,0.0006
0,0.64703,1,0.0007
0,0.575888,1,0.0007
0,0.467962,0,0.0006
0,0.541309,1,0.0007
0,0.674978,1,0.0006
0,0.425004,0,0.0006
0,0.48675,0,0.0007
0,0.555244,1,0.0007
0,0.502501,1,0.0007
0,0.64094,1,0.0007
0,0.507626,1,0.0007
0,0.531195,1,0.0007
0,0.558252,1,0.0007
0,0.440771,0,0.0006
0,0.458452,0,0.0007
0,0.436701,0,0.0007
0,0.685885,1,0.0007
0,0.597096,1,0.0006
0,0.615172,1,0.0008
0,0.539783,1,0.0007
0,0.542632,1,0.0007
0,0.604431,1,0.0006
0,0.444752,0,0.0006
0,0.542707,1,0.0007
0,0.647024,1,0.0008
0,0.555884,1,0.0006
0,0.645819,1,0.0006
0,0.515742,1,0.0007
0,0.567075,1,0.0006
0,0.646339,1,0.0006
0,0.649915,1,0.0006
0,0.533604,1,0.0007
0,0.566451,1,0.0007
0,0.66814,1,0.0006
0,0.602449,1,0.0007
0,0.490592,0,0.0006
0,0.487503,0,0.0007
0,0.375584,0,0.0007
0,0.433982,0,0.0007
0,0.485318,0,0.0007
0,0.44122,0,0.0006
0,0.549143,1,0.0007
0,0.389739,0,0.0007
0,0.36823,0,0.0006
0,0.38685,0,0.0006
0,0.494089,0,0.0007
0,0.470902,0,0.0006
0,0.388702,0,0.0007
0,0.43558,0,0.0006
0,0.526718,1,0.0007
0,0.47223,0,0.0006
0,0.519754,1,0.0007
0,0.586643,1,0.0006
0,0.492861,0,0.0006
0,0.566157,1,0.0007
0,0.436672,0,0.0007
0,0.576537,1,0.0006
0,0.485645,0,0.0006
0,0.625163,1,0.0007
0,0.522814,1,0.0006
0,0.465371,0,0.0006
0,0.652292,1,0.0006
0,0.58585,1,0.0006
0,0.474287,0,0.0007
0,0.444042,0,0.0007
0,0.577587,1,0.0006
0,0.620027,1,0.0007
0,0.450525,0,0.0006
0,0.472403,0,0.0006
0,0.540934,1,0.0007
0,0.561896,1,0.0007
0,0.495478,0,0.0007
0,0.549001,1,0.0007
0,0.522125,1,0.0007
0,0.561561,1,0.0007
0,0.503608,1,0.0007
0,0.535051,1,0.0007
0,0.504892,1,0.0007
0,0.640973,1,0.0006
0,0.660515,1,0.0006
0,0.580183,1,0.0007
0,0.673783,1,0.0006
0,0.589039,1,0.0006
0,0.616086,1,0.0007
0,0.443743,0,0.0007
0,0.698986,1,0.0007
0,0.833369,1,0.0006
0,0.829908,1,0.0006
0,0.786076,1,0.0007
0,0.654432,1,0.0006
0,0.576138,1,0.0006
0,0.496521,0,0.0008
0,0.327846,0,0.0007
0,0.716614,1,0.0007
0,0.350143,0,0.0007
0,0.204498,0,0.0007
0,0.42018,0,0.0007
0,0.430266,0,0.0007
0,0.354062,0,0.0006
0,0.357805,0,0.0007
0,0.236322,0,0.0007
0,0.411082,0,0.0008
0,0.592041,1,0.0008
0,0.561641,1,0.0007
0,0.640242,1,0.0007
0,0.634583,1,0.0007
0,0.614628,1,0.0007
0,0.619951,1,0.0006
0,0.702287,1,0.0007
0,0.623843,1,0.0007
0,0.730188,1,0.0006
0,0.688809,1,0.0007
0,0.691304,1,0.0007
0,0.679884,1,0.0007
0,0.760769,1,0.0007
0,0.804363,1,0.0007
0,0.68949,1,0.0007
0,0.736845,1,0.0007
0,0.675326,1,0.0007
0,0.718979,1,0.0007
0,0.764061,1,0.0007
0,0.899743,1,0.0007
0,0.740473,1,0.0006
0,0.742923,1,0.0007
0,0.624762,1,0.0007
0,0.694495,1,0.0007
0,0.725341,1,0.0007
0,0.803563,1,0.0007
0,0.7942,1,0.0007
0,0.747937,1,0.0007
0,0.759337,1,0.0007
0,0.737374,1,0.0007
0,0.749381,1,0.0007
0,0.789452,1,0.0008
0,0.785519,1,0.0006
0,0.779917,1,0.0007
0,0.792516,1,0.0008
0,0.80382,1,0.0007
0,0.840182,1,0.0007
0,0.589619,1,0.0007
0,0.709171,1,0.0007
0,0.754316,1,0.0008
0,0.768014,1,0.0007
0,0.753481,1,0.0007
0,0.719963,1,0.0007
0,0.853436,1,0.0007
0,0.870935,1,0.0006
0,0.900615,1,0.0007
0,0.900674,1,0.0006
0,0.852798,1,0.0008
0,0.846027,1,0.0007
0,0.85766,1,0.0007
0,0.817961,1,0.0007
0,0.899384,1,0.0007
0,0.95174,1,0.0007
0,0.92879,1,0.0007
0,0.905868,1,0.0007
0,0.889867,1,0.0007
0,0.861245,1,0.0007
0,0.951158,1,0.0007
1,0.962032,1,0.0007
1,0.943814,1,0.0007
1,0.959792,1,0.0007
0,0.940129,1,0.0007
0,0.781346,1,0.0006
0,0.843788,1,0.0007
1,0.916611,1,0.0007
1,0.809824,1,0.0007
1,0.933715,1,0.0007
0,0.963481,1,0.0007
0,0.973802,1,0.0006
1,0.953923,1,0.0007
0,0.935539,1,0.0007
0,0.897373,1,0.0007
0,0.895736,1,0.0007
0,0.915761,1,0.0007
0,0.93445,1,0.0007
0,0.918984,1,0.0007
0,0.917162,1,0.0007
0,0.921775,1,0.0007
0,0.919898,1,0.0007
0,0.634501,1,0.0007
0,0.774894,1,0.0007
0,0.859228,1,0.0007
0,0.903308,1,0.0007
0,0.858846,1,0.0007
0,0.933849,1,0.0007
0,0.759201,1,0.0007
0,0.808123,1,0.0006
0,0.914836,1,0.0007
0,0.923154,1,0.0006
