true_label,prob,pred,inference_time_ms
0,0.094849,0,0.0067
0,0.100514,0,0.0013
0,0.064593,0,0.0009
0,0.067437,0,0.0008
0,0.057815,0,0.0007
0,0.065604,0,0.0007
0,0.039694,0,0.0007
0,0.075577,0,0.0007
0,0.078226,0,0.0007
0,0.073889,0,0.0006
0,0.064721,0,0.0006
0,0.068122,0,0.0006
0,0.058108,0,0.0006
0,0.064465,0,0.0007
0,0.165715,0,0.0006
0,0.256108,0,0.0005
0,0.103939,0,0.0006
0,0.105334,0,0.0006
0,0.164859,0,0.0006
0,0.162548,0,0.0006
1,0.220801,0,0.0006
1,0.317859,0,0.0005
1,0.48678,0,0.0005
0,0.120573,0,0.0005
0,0.08379,0,0.0006
0,0.167169,0,0.0005
0,0.111341,0,0.0006
1,0.210379,0,0.0006
0,0.133597,0,0.0006
0,0.055484,0,0.0005
0,0.045718,0,0.0006
0,0.04395,0,0.0006
0,0.031148,0,0.0006
0,0.040188,0,0.0005
0,0.023995,0,0.0006
0,0.026229,0,0.0005
0,0.031055,0,0.0005
0,0.017757,0,0.0005
0,0.022702,0,0.0006
0,0.026416,0,0.0006
0,0.031309,0,0.0006
0,0.027173,0,0.0006
0,0.032251,0,0.0005
0,0.030927,0,0.0006
0,0.021869,0,0.0006
0,0.019798,0,0.0006
0,0.020089,0,0.0006
0,0.018056,0,0.0005
0,0.017831,0,0.0005
0,0.0268,0,0.0005
0,0.020065,0,0.0006
0,0.018442,0,0.0005
0,0.021814,0,0.0005
0,0.021579,0,0.0005
0,0.023121,0,0.0006
0,0.027642,0,0.0006
0,0.039776,0,0.0005
0,0.036778,0,0.0006
0,0.024524,0,0.0006
0,0.020814,0,0.0005
0,0.023796,0,0.0005
0,0.020372,0,0.0006
0,0.074039,0,0.0005
0,0.628835,1,0.0006
0,0.668235,1,0.0006
0,0.169687,0,0.0005
0,0.106379,0,0.0006
0,0.187047,0,0.0005
0,0.189212,0,0.0005
0,0.175824,0,0.0006
0,0.395669,0,0.0005
0,0.729315,1,0.0005
0,0.576791,1,0.0005
0,0.139456,0,0.0006
0,0.308588,0,0.0006
0,0.949439,1,0.0006
1,0.986572,1,0.0006
1,0.999493,1,0.0006
1,0.999583,1,0.0006
1,0.982628,1,0.0006
1,0.995322,1,0.0006
1,0.999677,1,0.0006
1,0.999964,1,0.0006
1,0.999983,1,0.0007
1,0.999947,1,0.0008
1,0.999794,1,0.0008
1,0.981206,1,0.0007
1,0.822928,1,0.0008
1,0.912922,1,0.0008
1,0.777844,1,0.0008
0,0.622054,1,0.0008
0,0.870468,1,0.0008
1,0.908845,1,0.0008
0,0.407117,0,0.0008
0,0.458465,0,0.0008
0,0.788067,1,0.0007
0,0.93495,1,0.0008
0,0.731639,1,0.0008
0,0.421616,0,0.0008
0,0.257272,0,0.0007
0,0.063067,0,0.0008
0,0.055725,0,0.0008
0,0.129012,0,0.0008
0,0.071204,0,0.0008
0,0.083789,0,0.0009
1,0.049927,0,0.0008
0,0.038995,0,0.0008
0,0.033716,0,0.0008
0,0.044675,0,0.0008
0,0.074084,0,0.0008
0,0.186058,0,0.0008
0,0.214095,0,0.0008
0,0.2034,0,0.0007
0,0.249791,0,0.0008
0,0.083308,0,0.0008
0,0.071859,0,0.0007
0,0.099407,0,0.0008
0,0.123492,0,0.0008
0,0.1154,0,0.0008
0,0.100174,0,0.0008
0,0.071081,0,0.0008
0,0.038252,0,0.0008
0,0.043043,0,0.0008
0,0.062039,0,0.0008
0,0.082446,0,0.0007
1,0.252027,0,0.0008
0,0.213718,0,0.0008
0,0.185526,0,0.0008
0,0.065525,0,0.0007
0,0.057513,0,0.0008
0,0.063521,0,0.0008
0,0.074902,0,0.0008
0,0.118175,0,0.0008
0,0.170354,0,0.0008
0,0.131297,0,0.0008
0,0.085316,0,0.0008
0,0.072156,0,0.0008
